Inference Latency (ms),Prediction,Input Text,Timestamp
83.77,POSITIVE,Hello.,2025-03-17T19:09:51.105501
26.21,POSITIVE,Good day.,2025-03-17T19:09:51.233770
28.74,NEGATIVE,How are you,2025-03-17T19:09:51.358928
26.47,POSITIVE,Thank you,2025-03-17T19:09:51.483439
25.07,POSITIVE,Yes please,2025-03-17T19:09:51.607099
28.00,NEGATIVE,No thanks,2025-03-17T19:09:51.743855
24.82,NEGATIVE,Lets go,2025-03-17T19:09:51.857660
28.82,POSITIVE,See you soon,2025-03-17T19:09:51.990510
30.24,POSITIVE,Have a nice day,2025-03-17T19:09:52.119207
26.51,POSITIVE,Okay sounds good,2025-03-17T19:09:52.238206
41.08,POSITIVE,The movie was absolutely fantastic and I enjoyed every minute,2025-03-17T19:09:52.429337
34.62,POSITIVE,I am very happy with the service provided it exceeded my expectations,2025-03-17T19:09:52.620876
35.44,POSITIVE,The food was delicious and the staff were incredibly friendly and helpful,2025-03-17T19:09:52.803025
30.55,POSITIVE,This product is amazing I would highly recommend it to everyone,2025-03-17T19:09:52.949783
30.19,POSITIVE,Everything was perfect from start to finish a truly wonderful experience,2025-03-17T19:09:53.152509
28.65,POSITIVE,I am extremely satisfied with my purchase and would buy it again,2025-03-17T19:09:53.316748
52.02,POSITIVE,The quality is excellent and the price is very reasonable great value,2025-03-17T19:09:53.464433
36.39,POSITIVE,I had a fantastic time and will definitely be returning in the future,2025-03-17T19:09:53.625909
35.18,POSITIVE,The atmosphere was lovely and the overall experience was top notch,2025-03-17T19:09:53.764483
32.77,POSITIVE,I could not be happier with the outcome truly exceptional work,2025-03-17T19:09:53.891099
35.13,NEGATIVE,The movie was terrible and I regretted wasting my time watching it,2025-03-17T19:09:54.017832
33.56,NEGATIVE,I am very disappointed with the service it was far below my expectations,2025-03-17T19:09:54.168788
43.34,NEGATIVE,The food was awful and the staff were rude and unhelpful a terrible experience,2025-03-17T19:09:54.360926
33.03,NEGATIVE,This product is a complete waste of money do not buy it extremely poor quality,2025-03-17T19:09:54.497611
34.76,NEGATIVE,Everything was a disaster from beginning to end a truly awful and frustrating experience,2025-03-17T19:09:54.653932
29.70,NEGATIVE,I am extremely dissatisfied and will never purchase anything from this company again,2025-03-17T19:09:54.783390
